"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107446",
"Firmware Version","02.300",
"Date","2024-02-20",
"Time","13:07:15",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Peak Peak",,
"Source 1",,"C1",,
"Source 2",,,,
"Unit",,V,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3016,,
"Current",,4.380000e-02,,
"Average No.",,1.000000e+03,,
"Min",,3.640000e-02,,
"Max",,7.100000e-02,,
"Mean",,4.385940e-02,,
"StdDev",,2.668600e-03,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,3.620000e-02,,
"Long term Max",,7.780000e-02,,
"Long term Mean",,4.396500e-02,,
"Long term StdDev",,2.727000e-03,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
631,,4.120000e-02,
632,,4.220000e-02,
633,,3.660000e-02,
634,,4.000000e-02,
635,,4.400000e-02,
636,,4.540000e-02,
637,,4.440000e-02,
638,,4.400000e-02,
639,,4.200000e-02,
640,,4.460000e-02,
641,,4.480000e-02,
642,,4.520000e-02,
643,,4.580000e-02,
644,,4.400000e-02,
645,,4.220000e-02,
646,,4.520000e-02,
647,,4.380000e-02,
648,,4.480000e-02,
649,,4.440000e-02,
650,,4.280000e-02,
651,,4.500000e-02,
652,,3.860000e-02,
653,,4.420000e-02,
654,,4.740000e-02,
655,,4.680000e-02,
656,,4.060000e-02,
657,,4.120000e-02,
658,,3.900000e-02,
659,,4.600000e-02,
660,,4.380000e-02,
661,,4.300000e-02,
662,,4.480000e-02,
663,,4.180000e-02,
664,,4.520000e-02,
665,,4.340000e-02,
666,,4.120000e-02,
667,,4.740000e-02,
668,,4.580000e-02,
669,,4.460000e-02,
670,,4.480000e-02,
671,,4.120000e-02,
672,,4.520000e-02,
673,,4.580000e-02,
674,,4.260000e-02,
675,,4.280000e-02,
676,,3.900000e-02,
677,,3.920000e-02,
678,,4.480000e-02,
679,,4.380000e-02,
680,,4.620000e-02,
681,,4.540000e-02,
682,,4.320000e-02,
683,,4.840000e-02,
684,,4.340000e-02,
685,,4.600000e-02,
686,,4.580000e-02,
687,,3.820000e-02,
688,,4.700000e-02,
689,,4.560000e-02,
690,,5.060000e-02,
691,,4.340000e-02,
692,,4.440000e-02,
693,,4.440000e-02,
694,,4.640000e-02,
695,,4.280000e-02,
696,,4.440000e-02,
697,,4.260000e-02,
698,,4.500000e-02,
699,,4.620000e-02,
700,,4.580000e-02,
701,,3.700000e-02,
702,,4.580000e-02,
703,,4.440000e-02,
704,,3.840000e-02,
705,,7.100000e-02,
706,,4.340000e-02,
707,,4.720000e-02,
708,,3.760000e-02,
709,,4.680000e-02,
710,,4.060000e-02,
711,,4.360000e-02,
712,,4.380000e-02,
713,,4.260000e-02,
714,,4.740000e-02,
715,,4.600000e-02,
716,,4.620000e-02,
717,,4.520000e-02,
718,,4.580000e-02,
719,,4.460000e-02,
720,,4.520000e-02,
721,,4.320000e-02,
722,,4.460000e-02,
723,,4.200000e-02,
724,,4.260000e-02,
725,,4.340000e-02,
726,,4.300000e-02,
727,,4.340000e-02,
728,,4.540000e-02,
729,,4.580000e-02,
730,,4.200000e-02,
731,,4.220000e-02,
732,,4.440000e-02,
733,,4.300000e-02,
734,,4.300000e-02,
735,,3.980000e-02,
736,,4.480000e-02,
737,,4.480000e-02,
738,,4.440000e-02,
739,,4.740000e-02,
740,,4.540000e-02,
741,,4.700000e-02,
742,,4.180000e-02,
743,,4.220000e-02,
744,,4.680000e-02,
745,,4.420000e-02,
746,,4.420000e-02,
747,,4.580000e-02,
748,,4.240000e-02,
749,,4.320000e-02,
750,,4.300000e-02,
751,,4.560000e-02,
752,,4.360000e-02,
753,,4.300000e-02,
754,,4.200000e-02,
755,,4.520000e-02,
